DATA	C1	C2	C3	C4	C5	C6	C7	C8
R421	1230.05	1020.04	2770.27	16359.35	170	1060.04	1720.11	3710.52
R422	1340.06	1040.04	2720.26	16629.66	220	1000.04	2250.18	4170.66
R423	1310.06	1330.06	2200.17	16889.97	180	1170.05	1990.14	3830.55
R424	1270.06	1140.05	2790.27	17190.32	180	1300.06	2050.15	4040.62
R425	1490.08	1240.05	2720.26	16349.34	140	1120.04	2240.18	4220.67
R426	1450.07	1030.04	2490.22	17120.24	140	1390.07	2380.2	4160.65
R427	1350.06	1000.03	2520.22	16169.13	110	1470.08	2540.23	4410.73
R428	1160.05	850.03	2650.25	16089.04	280	1400.07	2950.31	4680.83
R429	1130.04	1220.05	2790.27	16089.04	280	1690.1	3160.36	4780.86
R430	1490.08	1140.05	2520.22	16319.3	270	2160.17	3410.42	5771.26
R431	1290.06	1190.05	2810.28	16049	200	2660.25	4290.66	6341.52
R432	1490.08	1350.06	2970.31	16489.5	180	3020.33	5321.01	7872.34
R433	1420.07	1390.07	2840.28	16089.04	270	3850.53	6971.74	9383.32
R434	1220.05	1290.06	2580.23	15208.08	440.01	4370.68	8222.42	11174.71
R435	1480.08	1430.07	2930.3	16609.64	280	5691.16	9423.17	13707.08
R436	1230.05	1310.06	2630.24	15898.83	390.01	6951.72	11354.61	15779.38
R437	1440.07	1220.05	2960.31	15338.22	330	7982.27	13206.24	17952.14
R438	1740.11	1680.1	2880.29	16189.16	330	8322.47	14237.24	19554.41
R439	1300.06	1640.09	2810.28	15658.57	360	8672.68	15088.14	20626.03
R440	1410.07	1370.07	2740.26	17070.18	270	8832.78	14557.58	22168.51
R441	1680.1	1450.07	2990.31	15718.63	290	8482.57	15558.65	21437.31
R442	1820.12	1120.04	2950.3	15848.78	390.01	8852.8	15638.74	22258.66
R443	1560.08	1220.05	2960.31	15908.84	320	8562.62	14457.47	21226.97
R444	1630.09	1160.05	3070.33	16469.48	240	8142.37	14117.13	20225.41
R445	1640.09	1060.04	3090.33	15988.93	300	7932.24	13406.43	20155.31
R446	1850.12	1120.04	3430.41	15228.1	360	7512.01	12545.63	17651.74
R447	1430.07	1480.08	2750.26	16119.08	240	7081.79	11804.98	18182.46
R448	1950.13	1110.04	3360.39	15948.89	320	6511.51	11114.42	17461.49
R449	1690.1	1180.05	3300.38	16579.6	200	6761.63	11124.42	16330.05
R450	1900.13	1170.05	3130.34	14967.83	270	5841.22	10133.67	15829.44
R451	1680.1	1070.04	3110.34	16169.13	260	5911.25	9933.53	15308.83
R452	1870.12	850.03	3320.38	15708.62	270	5731.17	9583.28	14668.11
R453	1620.09	960.03	3280.38	16059.01	190	5891.24	8642.67	13076.45
R454	1940.13	1090.04	3270.37	16950.04	280	5060.91	8362.5	13076.45
R455	1800.11	1140.05	3070.33	16239.21	190	4900.86	8022.3	12075.49
R456	1940.13	1110.04	3270.37	16899.98	160	4400.69	7472	11494.98
R457	1770.11	1330.06	2690.25	17520.72	200	4610.76	7301.91	10293.99
R458	1770.11	1100.04	3130.34	17500.7	210	3840.53	6361.45	10183.91
R459	1750.11	1160.05	2960.31	17100.22	220	3170.36	6241.39	9193.19
R460	1840.12	1070.04	3320.38	17600.82	250	3350.4	5621.13	8792.91
R461	1800.11	1190.05	3390.4	17150.28	210	3300.39	5341.02	8462.7
R462	1860.12	1270.06	3300.38	17280.43	200	3010.32	4490.72	8322.61
R463	1910.13	960.03	3320.38	17240.38	130	3010.32	4860.85	8352.63
R464	1920.13	1380.07	3260.37	18061.4	110	2520.23	4200.63	7442.09
R465	1900.13	1370.07	3070.33	16449.46	170	2450.21	4280.66	7151.93
R466	1550.08	1070.04	3020.32	16409.41	190	2580.24	3900.54	6931.81
R467	1920.13	1360.06	3230.36	16079.03	150	2160.17	3990.57	6191.45
R468	2030.14	1390.07	3330.39	15578.48	100	2010.14	3760.51	6081.39
R469	1950.13	1460.07	3150.35	15978.92	90	2280.19	3430.42	5761.25
R470	2020.14	1480.08	3290.38	16639.67	190	1910.13	4000.57	5801.27
R471	1920.13	1250.05	3290.38	15928.86	70	2230.18	3490.44	5311.06
R472	1860.12	1360.06	3070.33	15978.92	80	1670.1	3320.39	5120.99
R473	1570.09	1360.06	2960.31	16079.03	160	1790.11	3000.32	4930.92
R474	1810.11	1180.05	3320.38	15558.46	120	1660.1	3070.34	4960.93
R475	1570.09	1090.04	3160.35	16139.1	140	1530.08	2810.28	4330.71
R476	1780.11	1170.05	3320.38	16089.04	130	1580.09	2730.27	4560.78
R477	1560.08	1160.05	2930.3	15308.19	100	1560.09	2850.29	4440.74
R478	1790.11	920.03	3210.36	15338.22	80	1680.1	2320.19	4500.76
R479	1540.08	1010.04	3050.32	15678.59	90	1420.07	2550.23	4090.63
R480	1520.08	1040.04	3360.39	14267.11	110	1720.11	2340.2	3880.57
R481	1350.06	990.03	3320.38	16669.71	130	1600.09	2230.18	3620.49
R482	1670.1	910.03	3390.4	15758.68	160	1480.08	2220.18	3930.58
R483	1530.08	1020.04	3000.31	15378.26	140	1370.07	2170.17	3550.48
R484	1480.08	730.02	2880.29	15568.47	130	1350.06	2190.17	3340.42
R485	1760.11	1000.03	3260.37	16169.13	40	1310.06	2100.16	3150.37
R486	1350.06	870.03	3220.36	16319.3	100	1210.05	1890.13	3550.48
R487	1600.09	820.02	2880.29	15938.88	170	1250.06	2080.15	2870.31
R488	1600.09	550.01	3040.32	16079.03	100	1150.05	1880.13	3050.35
R489	1490.08	790.02	3390.4	15728.64	180	1190.05	2080.15	3050.35
R490	1400.07	790.02	3390.4	16018.97	50	1210.05	2140.16	2980.34
R491	1350.06	740.02	3140.34	16519.54	120	1130.05	1830.12	2510.24
R492	1270.06	740.02	3150.35	15928.86	190	1010.04	1900.13	2980.34
R493	1500.08	790.02	3400.4	16119.08	80	890.03	1760.11	2710.28
R494	1420.07	670.02	3130.34	15878.81	130	1150.05	1620.09	2660.27
R495	1170.05	690.02	3460.42	16089.04	140	920.03	1350.07	2460.23
R496	1300.06	770.02	3550.44	16749.8	120	940.03	1620.09	2630.26
R497	1330.06	560.01	3630.46	15998.94	120	860.03	1470.08	2600.26
R498	1420.07	620.01	3590.45	15588.49	70	780.02	1630.1	2400.22
R499	1210.05	490.01	3760.49	16669.71	130	960.03	1400.07	2460.23
R500	1230.05	530.01	3720.48	15688.6	90	900.03	1520.08	2650.26
R501	1260.06	560.01	3560.44	15518.42	100	750.02	1200.05	2480.23
R502	1230.05	510.01	3830.51	16619.65	120	890.03	1140.05	2310.2
R503	1260.06	510.01	3360.39	15998.94	130	800.02	1090.04	2120.17
R504	1120.04	470.01	3780.5	15998.94	110	1010.04	1300.06	1740.11
R505	1340.06	500.01	3530.43	15788.71	90	610.01	1250.06	1900.14
R506	1200.05	450.01	3420.41	14987.85	80	770.02	1250.06	1970.15
R507	1440.07	460.01	3750.49	15988.93	110	620.01	1320.06	2230.19
R508	1060.04	510.01	3320.38	15808.73	60	750.02	1280.06	1880.13
R509	1050.04	390.01	3350.39	15027.89	120	770.02	1230.05	1960.14
R510	1240.05	440.01	3360.39	15718.63	50	640.01	1260.06	1950.14
R511	1140.05	480.01	3780.5	15528.43	130	640.01	1310.06	2100.17
R512	1090.04	550.01	3110.34	15438.33	50	560.01	980.03	1690.11
R513	1020.04	550.01	3000.31	15308.19	70	740.02	1090.04	2100.17
R514	1070.04	390.01	3620.46	15358.24	100	580.01	1170.05	1620.1
R515	1150.05	380.01	3420.41	15528.43	70	640.01	1290.06	1830.13
R516	1050.04	340	3390.4	16309.29	60	550.01	1060.04	1790.12
R517	1190.05	310	3260.37	15248.12	130	470.01	930.03	1600.1
R518	1050.04	410.01	3270.37	15538.44	30	610.01	1070.04	1530.09
R519	1020.04	620.01	2820.28	14777.63	110	460.01	1020.04	1650.1
R520	910.03	340	3120.34	14757.61	60	500.01	1020.04	1460.08
R521	1000.03	320	3210.36	15218.09	60	650.02	1010.04	1750.12
R522	1000.03	440.01	3380.4	14777.63	60	540.01	960.03	1550.09
R523	1060.04	510.01	3410.41	15578.48	80	470.01	970.03	1210.06
R524	1140.05	330	3790.5	15148.02	100	560.01	800.02	1740.11
R525	1020.04	260	3170.35	15278.16	110	410.01	1010.04	1400.07
R526	940.03	330	2980.31	15218.09	90	480.01	680.02	1330.07
R527	1150.05	390.01	3280.38	14737.59	60	660.02	970.03	1300.06
R528	1010.04	380.01	3250.37	14006.86	60	570.01	1050.04	1320.07
R529	1050.04	350	2940.3	14757.61	70	490.01	920.03	1450.08
R530	1090.04	320	3000.31	14987.85	90	570.01	870.03	1340.07
R531	1040.04	280	2790.27	15087.95	60	600.01	1040.04	1320.07
R532	1220.05	340	2750.26	14647.5	40	480.01	640.01	1550.09
R533	860.03	370	3140.34	14667.52	60	430.01	740.02	1250.06
R534	990.03	310	2880.29	14337.18	90	420.01	820.02	1360.07
R535	940.03	340	2850.28	14046.9	90	380.01	850.03	1300.06
R536	960.03	370	2980.31	14767.62	60	260	850.03	1150.05
R537	810.02	380.01	2850.28	14807.66	70	460.01	730.02	1420.08
R538	950.03	460.01	3010.32	14257.1	40	400.01	770.02	1160.05
R539	1060.04	460.01	2830.28	14357.2	30	440.01	830.02	1090.04
R540	840.02	570.01	2890.29	14026.87	90	570.01	780.02	1090.04
R541	990.03	460.01	3000.31	13836.69	70	420.01	840.03	1170.05
R542	810.02	390.01	3250.37	14697.55	50	390.01	560.01	980.04
R543	900.03	620.01	2970.31	13896.75	40	360	520.01	1160.05
R544	960.03	540.01	3100.34	14257.1	60	350	760.02	1080.04
R545	1070.04	750.02	2920.3	13996.85	60	430.01	820.02	1240.06
R546	1020.04	470.01	2780.27	14006.86	40	340	750.02	1050.04
R547	990.03	560.01	2840.28	13976.83	100	360	690.02	950.03
R548	760.02	710.02	3050.32	14157	70	480.01	670.02	1120.05
R549	970.03	500.01	2540.22	13896.75	40	430.01	640.01	1080.04
R550	760.02	680.02	2940.3	14417.26	40	470.01	600.01	960.03
R551	1040.04	700.02	2580.23	13736.59	50	360	670.02	1170.05
R552	870.03	640.01	2860.29	14267.11	40	440.01	850.03	1130.05
R553	860.03	490.01	2550.23	13936.79	60	370	680.02	860.03
R554	860.03	630.01	2620.24	14277.12	40	310	620.01	820.03
R555	890.03	710.02	3040.32	13806.66	70	320	580.01	970.04
R556	780.02	670.02	2770.27	14227.07	60	310	670.02	1050.04
R557	820.02	580.01	2950.3	14066.91	20	250	590.01	980.04
R558	980.03	720.02	2750.26	13686.55	50	220	580.01	860.03
R559	960.03	610.01	2750.26	13496.37	60	270	600.01	930.03
R560	670.02	490.01	2530.22	13866.72	50	350	650.02	1080.04
R561	730.02	650.01	2880.29	14277.12	50	340	560.01	970.04
R562	720.02	540.01	2760.27	13886.74	50	300	530.01	910.03
R563	830.02	370	2670.25	13546.41	30	340	480.01	940.03
R564	760.02	310	2530.22	13746.6	20	350	600.01	890.03
R565	850.03	380.01	3190.36	13796.65	50	310	450.01	840.03
R566	550.01	430.01	2510.22	13436.31	0	300	550.01	720.02
R567	860.03	410.01	2810.28	13676.54	10	290	460.01	970.04
R568	850.03	390.01	2630.24	14197.04	40	260	560.01	820.03
R569	700.02	440.01	3050.32	13556.42	50	370	470.01	900.03
R570	820.02	310	3110.34	13756.61	20	280	660.02	850.03
R571	670.02	320	2350.19	13656.52	30	310	520.01	940.03
R572	720.02	460.01	2360.19	13956.81	40	270	420.01	950.03
R573	840.02	230	2360.19	14587.44	10	390.01	390.01	900.03
R574	750.02	310	2450.21	13696.56	50	320	370	800.02
R575	870.03	420.01	2640.24	13116.01	60	310	610.01	780.02
R576	860.03	270	2670.25	13696.56	50	300	590.01	780.02
R577	760.02	370	2650.25	13866.72	60	290	320	730.02
R578	700.02	260	2700.25	13536.4	30	360	560.01	870.03
R579	660.02	290	2740.26	13736.59	40	280	550.01	730.02
R580	760.02	280	2700.25	12805.73	40	350	590.01	800.02
R581	690.02	270	2450.21	13166.06	50	340	350	850.03
R582	840.02	240	2760.27	13726.59	60	350	490.01	650.02
R583	640.01	300	2640.24	12915.83	30	190	480.01	800.02
R584	820.02	290	2610.24	13166.06	40	270	530.01	800.02
R585	770.02	280	2710.26	12945.86	40	310	440.01	740.02
R586	760.02	340	2980.31	13666.53	60	350	530.01	700.02
R587	840.02	220	2530.22	13536.4	20	300	520.01	900.03
R588	730.02	250	2640.24	13596.46	100	280	380.01	740.02
R589	620.01	240	2800.27	13596.46	40	360	400.01	890.03
R590	750.02	160	2290.18	12615.56	30	150	530.01	720.02
R591	600.01	210	2720.26	13236.12	80	210	650.02	720.02
R592	810.02	210	2610.24	13626.49	20	200	380.01	750.02
R593	560.01	190	2680.25	12995.9	80	250	490.01	620.01
R594	640.01	200	2970.31	13276.16	50	250	420.01	650.02
R595	750.02	300	2480.21	12655.6	70	270	420.01	670.02
R596	690.02	190	2430.21	12555.51	60	290	550.01	630.01
R597	630.01	180	2700.25	13095.99	80	220	510.01	660.02
R598	670.02	290	2860.29	12715.65	10	290	620.01	660.02
R599	650.01	170	2700.25	12745.68	60	260	360	760.02
R600	750.02	200	2940.3	12475.44	60	220	660.02	690.02
R601	760.02	240	2660.25	13206.09	60	220	460.01	790.02
R602	780.02	250	2800.27	12705.64	20	220	320	620.01
R603	720.02	260	2650.25	13156.05	50	230	410.01	790.02
R604	710.02	170	2460.21	12565.52	30	230	410.01	660.02
R605	620.01	180	2900.29	12485.45	20	280	500.01	640.02
R606	870.03	230	2730.26	12445.41	70	370	390.01	560.01
R607	840.02	260	2480.21	12435.4	60	260	420.01	630.01
R608	900.03	210	3100.34	12715.65	80	160	430.01	760.02
R609	640.01	150	2920.3	13116.01	50	220	390.01	580.01
R610	710.02	210	2800.27	13386.26	70	210	320	720.02
R611	700.02	170	2440.21	11714.8	10	350	370	510.01
R612	810.02	160	2730.26	12195.2	80	220	440.01	650.02
R613	790.02	190	2810.28	12275.26	30	290	320	620.01
R614	800.02	150	2670.25	12225.22	50	190	390.01	810.02
R615	760.02	180	2700.25	13136.03	30	200	470.01	750.02
R616	810.02	160	2740.26	13176.07	70	190	380.01	730.02
R617	740.02	180	2590.23	12965.87	50	240	370	590.01
R618	650.01	220	2640.24	12525.48	10	230	450.01	810.02
R619	680.02	160	2780.27	12415.39	10	250	510.01	820.03
R620	580.01	240	2600.24	12695.63	60	200	500.01	530.01
R621	770.02	220	2600.24	12985.89	40	240	310	540.01
R622	720.02	210	2420.2	12415.39	50	250	410.01	480.01
R623	540.01	140	2650.25	11954.99	80	250	320	630.01
R624	620.01	190	2650.25	12005.04	40	260	510.01	570.01
R625	790.02	190	2840.28	11854.91	50	190	400.01	550.01
R626	510.01	110	2600.24	12275.26	70	250	430.01	650.02
R627	560.01	150	2930.3	12665.6	70	190	460.01	530.01
R628	640.01	120	2560.23	12305.29	60	250	430.01	560.01
R629	700.02	160	2500.22	12615.56	20	300	320	570.01
R630	650.01	140	2520.22	11844.9	10	230	230	510.01
R631	620.01	160	2790.27	12375.35	60	160	360	750.02
R632	610.01	170	2490.22	11784.85	20	200	330	510.01
R633	640.01	100	2840.28	11965	40	280	390.01	540.01
R634	710.02	190	2550.23	12335.32	70	240	310	630.01
R635	640.01	110	2800.27	12045.07	40	250	470.01	590.01
R636	710.02	290	2840.28	12105.12	40	260	470.01	590.01
R637	690.02	180	2930.3	11904.95	80	240	330	550.01
R638	740.02	110	2880.29	11834.89	10	230	360	500.01
R639	570.01	220	2560.23	12215.21	60	170	490.01	550.01
R640	620.01	160	2550.23	11204.39	50	240	460.01	530.01
R641	570.01	200	2450.21	12025.05	10	240	380.01	490.01
R642	810.02	150	2840.28	11634.73	30	350	340	500.01
R643	630.01	190	2860.29	11634.73	40	270	360	590.01
R644	620.01	140	2690.25	11174.36	70	270	320	600.01
R645	520.01	190	2830.28	11124.32	40	200	460.01	520.01
R646	540.01	150	2830.28	11684.77	40	150	490.01	640.02
R647	670.02	220	2880.29	11144.34	60	270	420.01	780.02
R648	730.02	80	2660.25	11664.75	0	250	250	680.02
R649	560.01	160	2740.26	11965	30	190	390.01	510.01
R650	690.02	220	2640.24	12485.45	40	270	450.01	430.01
R651	720.02	100	2650.25	11604.71	60	260	320	510.01
R652	670.02	110	2520.22	11594.7	20	140	310	560.01
R653	700.02	150	3100.34	11524.64	20	270	300	470.01
R654	640.01	170	2790.27	12245.24	50	220	360	640.02
R655	450.01	220	2540.22	11764.84	50	230	440.01	610.01
R656	570.01	110	2820.28	11684.77	20	290	350	540.01
R657	630.01	200	2600.24	11714.8	30	270	310	570.01
R658	600.01	220	2590.23	11904.95	30	160	420.01	500.01
R659	690.02	210	2520.22	12465.43	20	210	380.01	470.01
R660	640.01	140	2490.22	11154.35	30	280	290	490.01
R661	530.01	130	2140.16	11854.91	20	140	360	570.01
R662	630.01	90	2590.23	12145.15	50	250	350	510.01
R663	720.02	180	2800.27	11454.59	70	120	410.01	460.01
R664	700.02	180	2790.27	11384.53	10	250	380.01	440.01
R665	480.01	100	2610.24	12055.08	20	280	420.01	500.01
R666	520.01	160	2700.25	11774.85	40	180	310	460.01
R667	600.01	170	2350.19	11654.75	30	220	360	430.01
R668	670.02	140	2650.25	11054.27	40	200	370	540.01
R669	700.02	150	2410.2	11434.57	20	170	330	450.01
R670	860.03	190	2420.2	11884.94	20	180	330	450.01
R671	560.01	130	2500.22	10974.21	20	150	350	430.01
R672	600.01	150	2450.21	11884.94	60	280	420.01	510.01
R673	760.02	140	2550.23	11764.84	30	130	370	580.01
R674	640.01	100	2440.21	10854.12	40	130	280	430.01
R675	670.02	160	2960.31	11334.49	30	170	460.01	530.01
R676	710.02	140	2510.22	11384.53	60	200	370	520.01
R677	760.02	240	2450.21	11344.5	60	290	340	610.01
R678	580.01	160	2570.23	11474.6	70	190	400.01	520.01
R679	730.02	230	2620.24	11244.42	30	200	320	480.01
R680	530.01	180	2650.25	11324.48	50	200	300	580.01
R681	750.02	180	2600.24	11364.51	10	270	350	510.01
R682	680.02	120	2730.26	11534.65	20	200	420.01	550.01
R683	610.01	110	2630.24	10924.17	30	160	290	500.01
R684	760.02	120	2630.24	11074.29	10	180	280	430.01
R685	520.01	220	2640.24	11194.38	50	150	390.01	440.01
R686	660.02	140	2180.17	11754.83	50	220	320	550.01
R687	750.02	200	2490.22	11584.69	50	250	300	530.01
R688	800.02	150	2560.23	10934.18	50	260	320	510.01
R689	550.01	150	2690.25	11944.99	80	180	240	550.01
R690	740.02	130	2410.2	11324.48	60	190	340	520.01
R691	750.02	200	2750.26	11304.47	40	240	350	580.01
R692	750.02	60	3050.32	10653.97	20	300	390.01	500.01
R693	550.01	270	2330.19	11354.51	0	250	390.01	500.01
R694	710.02	170	2720.26	10774.06	50	170	360	490.01
R695	680.02	130	2840.28	10694	20	150	280	480.01
R696	670.02	180	2610.24	10954.19	40	170	250	380.01
R697	690.02	190	2700.25	11985.02	20	210	370	410.01
R698	550.01	130	2470.21	10413.79	60	200	410.01	560.01
R699	760.02	130	2840.28	11524.64	30	170	330	530.01
R700	610.01	220	2540.22	11174.36	40	120	290	460.01
R701	720.02	240	2340.19	11224.4	40	240	290	540.01
R702	580.01	90	2640.24	10824.09	20	140	350	420.01
R703	630.01	170	2460.21	10673.98	20	210	310	440.01
R704	770.02	120	2580.23	10824.09	30	300	300	490.01
R705	650.01	190	2850.28	10924.17	20	210	250	480.01
R706	660.02	120	2440.21	11094.3	0	160	260	600.01
R707	670.02	200	2730.26	11444.58	20	150	350	490.01
R708	690.02	150	2560.23	10894.15	10	120	280	530.01
R709	650.01	130	2530.22	11104.31	60	170	260	420.01
R710	640.01	60	2250.18	10633.95	90	200	390.01	570.01
R711	550.01	110	2340.19	10794.07	40	150	280	490.01
R712	760.02	120	2570.23	11314.47	10	220	310	490.01
R713	670.02	180	2460.21	11434.57	20	150	300	460.01
R714	540.01	160	2870.29	10173.62	10	150	320	510.01
R715	520.01	120	2780.27	10844.11	40	280	340	440.01
R716	720.02	130	2450.21	11084.29	40	180	180	490.01
R717	740.02	100	2880.29	11044.26	20	240	410.01	460.01
R718	550.01	70	2960.31	11154.35	50	260	310	390.01
R719	590.01	180	2590.23	11244.42	40	110	280	420.01
R720	660.02	110	2690.25	11294.46	30	200	270	410.01
R721	520.01	140	2650.25	11064.28	50	90	420.01	470.01
R722	700.02	180	2520.22	11494.62	40	200	230	470.01
R723	770.02	120	2650.25	10944.18	50	220	450.01	520.01
R724	620.01	110	2640.24	11494.62	30	180	230	490.01
R725	590.01	100	2860.29	11694.78	30	120	270	440.01
R726	620.01	150	2710.26	11244.42	30	100	250	460.01
R727	690.02	120	2450.21	11274.44	40	240	450.01	470.01
R728	700.02	140	2360.19	10904.15	90	180	300	380.01
R729	640.01	110	2150.16	10914.16	10	130	260	490.01
R730	670.02	140	2550.23	10844.11	30	150	240	580.01
R731	780.02	70	3000.31	10724.02	30	140	190	460.01
R732	550.01	100	2570.23	10794.07	40	170	380.01	410.01
R733	720.02	150	2760.27	11304.47	50	200	310	610.01
R734	750.02	90	2550.23	10994.22	10	120	300	350
R735	540.01	110	2370.2	10163.61	30	130	260	420.01
R736	660.02	80	2470.21	10934.18	30	220	290	580.01
R737	590.01	90	2510.22	10784.06	40	260	350	330
R738	690.02	120	2480.21	10984.22	40	190	240	400.01
R739	580.01	90	2700.25	10984.22	20	200	310	470.01
R740	560.01	130	2800.27	10543.89	70	150	310	380.01
R741	680.02	120	2610.24	10764.05	30	180	250	450.01
R742	570.01	80	2850.28	10463.83	40	140	400.01	500.01
R743	720.02	110	2490.22	10463.83	10	210	250	340
R744	610.01	90	2660.25	11054.27	50	150	330	450.01
R745	550.01	110	2840.28	10724.02	20	180	360	340
R746	530.01	90	2710.26	10964.2	20	140	400.01	390.01
R747	420.01	120	2620.24	11024.25	20	160	300	490.01
R748	630.01	100	2270.18	10974.21	20	230	400.01	530.01
R749	580.01	50	2740.26	11234.41	0	130	340	550.01
R750	720.02	100	2610.24	11014.24	40	210	360	480.01
R751	560.01	100	2350.19	10854.12	30	150	270	430.01
R752	750.02	80	2720.26	10984.22	40	170	250	500.01
R753	610.01	60	2950.3	9983.48	30	140	430.01	500.01
R754	590.01	80	2540.22	10704	60	160	230	450.01
R755	820.02	150	2590.23	10513.86	20	260	290	520.01
R756	660.02	100	2630.24	11044.26	40	160	310	550.01
R757	610.01	80	2620.24	10784.06	10	260	300	480.01
R758	770.02	120	2590.23	10744.03	50	210	370	510.01
R759	590.01	90	2630.24	10994.22	40	120	320	550.01
R760	620.01	80	2810.28	10914.16	20	170	400.01	650.02
R761	700.02	100	2600.24	10944.18	0	170	380.01	520.01
R762	520.01	50	2400.2	10633.95	0	190	400.01	370.01
R763	750.02	80	2920.3	10734.03	30	250	270	470.01
R764	560.01	90	2370.2	10744.03	40	140	330	480.01
R765	390.01	70	2190.17	10593.92	50	220	220	590.01
R766	660.02	60	2330.19	10423.8	50	150	430.01	380.01
R767	650.01	70	2360.19	11014.24	20	180	330	550.01
R768	630.01	50	2470.21	10333.73	20	110	190	400.01
R769	760.02	70	2750.26	10343.74	30	170	320	470.01
R770	610.01	100	2490.22	10433.8	40	170	250	340
R771	600.01	60	2840.28	10764.05	10	210	340	400.01
R772	550.01	100	2900.29	11534.65	50	210	300	420.01
R773	610.01	80	2460.21	10683.99	20	170	270	390.01
R774	690.02	70	2660.25	10613.94	20	210	330	430.01
R775	550.01	100	2360.19	11254.43	30	170	270	480.01
R776	760.02	90	2480.21	10714.01	20	150	310	350
R777	710.02	100	2740.26	10573.91	0	150	220	360
R778	580.01	50	3040.32	11024.25	30	220	240	440.01
R779	620.01	90	2700.25	11074.29	30	180	220	570.01
R780	660.02	80	2520.22	10864.12	20	130	350	420.01
R781	670.02	70	2700.25	10874.13	30	140	350	500.01
R782	570.01	130	2920.3	11194.38	60	240	250	480.01
R783	530.01	70	2610.24	10844.11	70	210	350	420.01
R784	520.01	100	2560.23	11124.32	10	180	350	420.01
R785	700.02	90	2290.18	10133.59	60	160	330	380.01
R786	530.01	90	2560.23	10493.85	70	190	220	550.01
R787	580.01	100	2620.24	10714.01	0	160	220	460.01
R788	720.02	20	2700.25	10874.13	30	140	350	330
R789	600.01	60	2510.22	11224.4	50	180	390.01	480.01
R790	650.01	30	2810.28	10653.97	50	170	280	460.01
R791	550.01	110	2590.23	10784.06	30	150	250	590.01
R792	570.01	30	2980.31	10994.22	40	130	300	450.01
R793	610.01	30	2640.24	11104.31	40	100	250	390.01
R794	540.01	30	2590.23	11134.33	20	120	200	430.01
R795	490.01	110	2510.22	10714.01	40	190	290	500.01
R796	720.02	50	2500.22	10884.14	30	160	300	540.01
R797	600.01	90	2520.22	10814.09	30	280	330	400.01
R798	620.01	30	2570.23	10573.91	20	180	340	350
R799	550.01	90	2600.24	10914.16	30	200	260	530.01
R800	530.01	60	2820.28	10423.8	70	140	280	410.01
R801	650.01	30	2470.21	10583.91	40	180	370	440.01
R802	680.02	70	2380.2	10744.03	20	210	270	400.01
R803	550.01	70	2550.23	11004.23	10	220	290	560.01
R804	720.02	30	2560.23	10033.52	40	250	390.01	410.01
R805	770.02	70	2430.21	10764.05	50	150	340	470.01
R806	570.01	50	2690.25	10443.81	30	200	220	450.01
R807	600.01	30	2630.24	10043.52	20	140	270	450.01
R808	640.01	60	2520.22	10283.7	30	220	280	500.01
R809	770.02	20	2520.22	10563.9	50	200	330	390.01
R810	660.02	100	2480.21	10403.78	30	190	300	450.01
R811	510.01	80	2860.29	10603.93	60	70	220	490.01
R812	730.02	30	2530.22	10293.7	40	150	250	290
R813	530.01	30	2580.23	10904.15	30	180	250	390.01
R814	720.02	40	2590.23	10253.67	10	230	330	310
R815	710.02	100	2570.23	10473.83	50	160	340	360
R816	720.02	70	2310.19	10924.17	0	160	270	460.01
R817	780.02	30	2520.22	10804.08	20	140	310	440.01
R818	680.02	120	2720.26	10213.64	40	180	270	420.01
R819	690.02	40	2540.22	11014.24	30	170	170	370.01
R820	620.01	20	2630.24	11274.44	20	270	350	480.01
R821	560.01	60	2210.17	10343.74	20	250	190	370.01
R822	590.01	50	2230.17	9913.43	10	260	330	290
R823	610.01	70	2570.23	10313.72	0	110	270	330
R824	690.02	40	2700.25	10643.96	40	130	250	480.01
R825	550.01	40	2660.25	10794.07	10	140	280	420.01
R826	510.01	10	2730.26	10503.85	40	120	270	300
R827	600.01	40	2560.23	10543.89	20	140	350	400.01
R828	740.02	80	2580.23	10283.7	20	190	320	520.01
R829	440.01	40	2550.23	10413.79	0	250	210	510.01
R830	530.01	80	2550.23	10333.73	30	80	340	420.01
R831	610.01	20	2460.21	10423.8	40	140	330	410.01
R832	680.02	60	2740.26	10603.93	20	100	270	430.01
R833	470.01	30	2700.25	10964.2	0	120	290	370.01
R834	700.02	50	2420.2	10603.93	40	120	310	420.01
R835	570.01	50	2860.29	10814.09	20	120	230	390.01
R836	610.01	40	2470.21	10974.21	20	220	350	320
R837	580.01	90	2250.18	10373.76	30	140	330	400.01
R838	600.01	100	2630.24	10573.91	30	140	230	370.01
R839	520.01	60	2130.16	10984.22	0	190	310	360
R840	700.02	60	2460.21	10653.97	10	160	290	390.01
R841	610.01	60	2510.22	10533.88	20	230	350	510.01
R842	660.02	30	2510.22	10443.81	10	200	210	450.01
R843	640.01	60	2430.21	9963.47	0	110	220	510.01
R844	580.01	70	2680.25	10343.74	20	140	300	350
R845	470.01	80	2660.25	10854.12	30	150	290	360
R846	790.02	50	2290.18	9993.49	20	160	320	390.01
R847	580.01	40	2660.25	10303.71	0	140	300	430.01
R848	670.02	70	2550.23	10744.03	40	210	200	310
R849	680.02	40	2520.22	9693.28	20	140	280	390.01
R850	760.02	50	2730.26	10583.91	50	210	280	490.01
R851	530.01	100	2410.2	10243.67	60	220	350	310
R852	660.02	60	2500.22	10403.78	30	160	340	410.01
